source,target,weight,Type
540,2087,16,Undirected
540,3111,77,Undirected
540,2531,122,Undirected
540,2535,39,Undirected
540,21,15,Undirected
540,4487,8,Undirected
540,1655,14,Undirected
540,1133,121,Undirected
540,2284,8,Undirected
540,3155,25,Undirected
540,3158,19,Undirected
540,1006,17,Undirected
540,1005,29,Undirected
540,1879,47,Undirected
540,4946,8,Undirected
540,3085,37,Undirected
540,3885,14,Undirected
540,3882,35,Undirected
540,3906,17,Undirected
540,751,54,Undirected
540,5216,32,Undirected
540,4767,11,Undirected
540,770,159,Undirected
540,773,57,Undirected
540,3621,27,Undirected
540,3719,25,Undirected
540,3128,31,Undirected
540,3129,21,Undirected
540,3126,29,Undirected
540,3125,20,Undirected
540,8,12,Undirected
540,994,51,Undirected
540,121,25,Undirected
540,123,20,Undirected
540,764,45,Undirected
540,1021,65,Undirected
540,4871,10,Undirected
540,3325,135,Undirected
540,1986,14,Undirected
540,1745,211,Undirected
540,785,8,Undirected
540,1647,17,Undirected
540,781,13,Undirected
540,783,13,Undirected
540,4058,16,Undirected
540,3615,26,Undirected
540,60,280,Undirected
540,67,360,Undirected
540,251,23,Undirected
540,257,12,Undirected
540,1426,8,Undirected
540,736,25,Undirected
540,738,172,Undirected
540,3727,39,Undirected
540,2519,11,Undirected
540,2515,48,Undirected
540,2516,24,Undirected
540,5116,17,Undirected
540,2634,12,Undirected
540,5058,32,Undirected
540,5056,23,Undirected
540,3912,12,Undirected
540,3918,22,Undirected
540,5206,17,Undirected
540,5209,21,Undirected
540,263,27,Undirected
540,2846,15,Undirected
540,1784,21,Undirected
540,1785,12,Undirected
540,1961,16,Undirected
540,3049,8,Undirected
540,3326,32,Undirected
540,3042,46,Undirected
540,3044,27,Undirected
540,3130,12,Undirected
540,3038,182,Undirected
540,3039,8,Undirected
540,2490,60,Undirected
540,3033,143,Undirected
540,1294,10,Undirected
540,64,81,Undirected
540,1417,10,Undirected
540,1329,8,Undirected
540,984,36,Undirected
540,4410,14,Undirected
540,2076,11,Undirected
540,2601,10,Undirected
540,74,16,Undirected
540,3367,9,Undirected
540,70,108,Undirected
540,3053,8,Undirected
540,750,101,Undirected
540,754,24,Undirected
540,758,10,Undirected
540,3071,14,Undirected
540,3073,237,Undirected
540,3077,20,Undirected
540,1025,21,Undirected
540,722,137,Undirected
540,1740,157,Undirected
540,5522,15,Undirected
540,1894,65,Undirected
540,3736,10,Undirected
540,3735,25,Undirected
540,1897,14,Undirected
540,3100,105,Undirected
540,3103,36,Undirected
540,2503,105,Undirected
540,2501,11,Undirected
545,2524,39,Undirected
545,1891,14,Undirected
545,994,14,Undirected
545,2139,182,Undirected
545,2147,14,Undirected
545,65,108,Undirected
545,770,29,Undirected
545,3029,99,Undirected
545,1014,21,Undirected
545,1133,16,Undirected
545,1745,43,Undirected
545,3099,40,Undirected
545,60,63,Undirected
545,67,71,Undirected
545,736,10,Undirected
545,738,26,Undirected
545,750,22,Undirected
545,759,57,Undirected
545,3727,11,Undirected
545,2515,16,Undirected
545,1740,39,Undirected
545,1894,14,Undirected
545,2136,32,Undirected
545,2131,135,Undirected
545,3107,112,Undirected
545,2503,21,Undirected
545,3115,77,Undirected
